question,topic,answer
Mióta működik a Clearservice Németországban?,Cégismertető,Több mint 12 éve.
Hány magyar munkavállaló dolgozik jelenleg a cégnél?,Cégismertető,Több mint 150 fő.
Hány németországi területet fed le a cég tevékenysége?,Cégismertető,11 területet.
A Clearservice közvetítő cég?,Cégismertető,"Nem, közvetlen munkáltató."
Milyen szállodákban biztosít munkát a cég?,Cégismertető,4-5 csillagos szállodákban.
Mennyi a nettó havi fizetés körülbelül?,Fizetés,1800–2000 euró.
Mi alapján történik a fizetés kiszámítása?,Fizetés,Órabér és gyorsasági prémium alapján.
Mikor történik a fizetés utalása?,Fizetés,A hónap 15-én.
Mi jár vasárnapi és ünnepnapi munkára?,Fizetés,80% pótlék.
A magyar alapbér előleg?,Fizetés,"Nem, része a német fizetésnek."
Ki biztosítja a szállást és kiutazást?,Szállás és Kiutazás,A cég.
Milyen típusú lakásokban szállásolják el a dolgozókat?,Szállás és Kiutazás,"Modern, 3 szobás, teljesen felszerelt lakásokban."
Fizetni kell a szállásért?,Szállás és Kiutazás,"Nem, teljes mértékben biztosított."
Lehet kisállatot vinni a szállásra?,Szállás és Kiutazás,"Nem, semmilyen kisállatot nem lehet vinni."
Kiutazás előtt mit kell teljesíteni?,Szállás és Kiutazás,A tréninget.
Szükséges német nyelvtudás a jelentkezéshez?,Nyelvtudás,Nem szükséges.
Ki biztosítja a nyelvoktatást?,Nyelvtudás,A cég Németországban.
Mit tanítanak a nyelvoktatáson?,Nyelvtudás,A munkához szükséges alapvető kifejezéseket.
Milyen pozíciók érhetők el?,Pozíciók és Feladatkörök,Szobalány és szobafiú.
Naponta hány szobát kell takarítani egy személynek?,Pozíciók és Feladatkörök,Kb. 20 szobát.
Hányan takarítnak egy szobát?,Pozíciók és Feladatkörök,Egy személy.
Mit kell csinálni a fürdőszobákkal?,Pozíciók és Feladatkörök,Tisztítani és fertőtleníteni.
Milyen elvárás van a munkavégzéssel kapcsolatban?,Pozíciók és Feladatkörök,Gyorsaság és precizitás.
Milyen egészségügyi állapot kizáró ok?,Munkavégzés,"Testi, ízületi fájdalmak."
Ki állapítja meg az egészségügyi alkalmasságot?,Munkavégzés,Helyi munkaorvosok.
Hogyan biztosítják a munkaegyenlőséget?,Munkavégzés,"Úgy osztják a munkát, hogy mindenkinek kijöjjön a havi órája."
Hol van a kötelező tréning?,Képzések,Székelyudvarhelyen.
Mennyi ideig tart a tréning?,Képzések,5 nap.
Kinek kötelező elvégezni a tréninget?,Képzések,"Mindenkinek, tapasztalattól függetlenül."
Ki fizeti a tréninget?,Képzések,"A tréning ingyenes, de az odajutás saját költségen történik."
Mit tanulnak a tréningen?,Képzések,"Németországi takarítási sztenderdeket, technikákat, hotel szaknyelvet és prémiumszerzési módokat."
Hány napos a munkahét?,Munkarend és Beosztás,Hat napos.
Mikor kezdődik a munkanap?,Munkarend és Beosztás,8 vagy 9 órakor.
Meddig tart a napi munka?,Munkarend és Beosztás,Legkésőbb 16 óráig.
Van lehetőség hétvégén hazautazni?,Munkarend és Beosztás,"Nem, a munka folyamatos jelenlétet igényel."
Miért kell több szállodában dolgozni egy városban?,Munkarend és Beosztás,Hogy jó fizetést érjen el a dolgozó.
Mi az iskolai végzettségi minimum követelmény?,Elvárások és Dokumentáció,Középiskolai végzettség (12 osztály).
Milyen munkaviszony szükséges az elmúlt egy évben?,Elvárások és Dokumentáció,6 hónapos megszakítatlan munkaviszony.
Milyen személyazonosító okmány szükséges?,Elvárások és Dokumentáció,Érvényes személyi igazolvány vagy útlevél.
Milyen erkölcsi feltétel van?,Elvárások és Dokumentáció,Tiszta erkölcsi bizonyítvány.
Hogyan kell felmondani a meglévő munkahelyen?,Elvárások és Dokumentáció,Rendes felmondással.
Mikor lehet először szabadságra menni?,Szabadság és Hazautazás,3-4 hónap után.
Kihez kell beadni a szabadságkérelmet?,Szabadság és Hazautazás,A Szolgáltatási Igazgatónak.
Mi történik a ki nem vett szabadsággal?,Szabadság és Hazautazás,Kifizetik a magyar törvények szerint.
Lehet minden hónapban egy hét szabadságot kivenni?,Szabadság és Hazautazás,Nem.
"Mi történik, ha valaki 6 hónapon belül megszakítja a munkát?",Munkaviszony és Szerződés,Vissza kell fizetnie a 600 eurós tréningdíjat.
"Mi történik, ha a hotel elégedetlen a munkavállalóval?",Munkaviszony és Szerződés,Elbocsátás esetén is vissza kell fizetni a tréningdíjat.
Hol van a munkavállaló hivatalosan bejelentve?,Munkaviszony és Szerződés,"Magyarországon, német kiküldetéssel."
Ki biztosítja az étkezést?,Étkezés és Költségek,A dolgozóknak maguknak kell megoldaniuk.
Mennyibe kerül havonta az étkezés?,Étkezés és Költségek,Körülbelül 200–250 euró személyenként.
